miRNA_Name,k-mer_vector_1,k-mer_vector_2,k-mer_vector_3,k-mer_vector_4,k-mer_vector_5,k-mer_vector_6,k-mer_vector_7,k-mer_vector_8,k-mer_vector_9,k-mer_vector_10,k-mer_vector_11,k-mer_vector_12,k-mer_vector_13,k-mer_vector_14,k-mer_vector_15,k-mer_vector_16,k-mer_vector_17,k-mer_vector_18,k-mer_vector_19,k-mer_vector_20,k-mer_vector_21,k-mer_vector_22,k-mer_vector_23,k-mer_vector_24,k-mer_vector_25,k-mer_vector_26,k-mer_vector_27,k-mer_vector_28,k-mer_vector_29,k-mer_vector_30,k-mer_vector_31,k-mer_vector_32,k-mer_vector_33,k-mer_vector_34,k-mer_vector_35,k-mer_vector_36,k-mer_vector_37,k-mer_vector_38,k-mer_vector_39,k-mer_vector_40,k-mer_vector_41,k-mer_vector_42,k-mer_vector_43,k-mer_vector_44,k-mer_vector_45,k-mer_vector_46,k-mer_vector_47,k-mer_vector_48,k-mer_vector_49,k-mer_vector_50,k-mer_vector_51,k-mer_vector_52,k-mer_vector_53,k-mer_vector_54,k-mer_vector_55,k-mer_vector_56,k-mer_vector_57,k-mer_vector_58,k-mer_vector_59,k-mer_vector_60,k-mer_vector_61,k-mer_vector_62,k-mer_vector_63,k-mer_vector_64
224,0,0,0.1,0.05,0,0,0,0,0,0,0.05,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0.05,0,0.15,0,0.05,0,0,0,0,0,0,0,0,0,0.1,0.15,0,0,0,0
225,0.15,0,0.1,0,0,0,0.05,0,0.05,0.1,0,0,0.05,0,0,0,0.05,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0.05,0,0.05,0.05,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.05,0
226,0.047619048,0,0.047619048,0,0,0,0,0,0,0,0.047619048,0.095238095,0.047619048,0,0,0,0,0,0.047619048,0,0,0,0,0,0,0,0,0,0,0,0,0.047619048,0,0,0,0,0.047619048,0,0,0.047619048,0,0,0,0.047619048,0.047619048,0,0.095238095,0,0.047619048,0,0.095238095,0.047619048,0,0,0,0,0,0.095238095,0,0,0.047619048,0,0,0
227,0.047619048,0,0.047619048,0,0,0,0,0,0,0,0.047619048,0.095238095,0.047619048,0,0,0,0.047619048,0,0.047619048,0.047619048,0,0,0,0,0,0,0,0,0,0.047619048,0,0,0,0,0,0,0.047619048,0,0,0.047619048,0,0,0,0.047619048,0.047619048,0,0.095238095,0,0,0,0.095238095,0,0.047619048,0,0,0,0,0.095238095,0,0,0,0,0,0
228,0,0,0,0,0,0,0,0.05,0.05,0.05,0,0,0,0.05,0.05,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0.05,0,0.05,0,0,0,0.05,0,0,0,0,0,0,0,0.05,0,0,0.05,0.05,0.05,0,0,0,0.1,0,0,0.05,0.05,0,0.05,0
229,0,0,0,0,0.05,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0.05,0.05,0,0,0.1,0,0,0.05,0,0,0,0,0.1,0.05,0,0.05,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0.1,0.05,0,0.1,0,0,0,0
230,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.05,0,0.05,0,0.15,0,0.05,0,0,0,0,0,0.1,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0.05,0.1,0.05,0,0,0,0,0.05,0,0.1,0.05,0.05
231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052631579,0,0.052631579,0,0,0,0,0,0,0,0,0,0,0,0.052631579,0.052631579,0.052631579,0,0,0,0,0,0,0,0.105263158,0,0.052631579,0,0,0,0.052631579,0.052631579,0,0,0,0,0,0.052631579,0,0,0.052631579,0,0.052631579,0.052631579,0.105263158,0,0,0.105263158,0.052631579
232,0,0,0.05,0,0,0,0,0,0,0.05,0,0.05,0,0,0,0,0,0,0,0,0,0.05,0,0.1,0,0,0.05,0,0,0,0,0.1,0.05,0,0,0,0,0,0.05,0,0,0,0,0.05,0,0.1,0,0,0,0,0.05,0,0,0.1,0,0,0.05,0,0,0,0,0.05,0.05,0
233,0,0,0,0,0,0,0,0,0,0.052631579,0.105263158,0,0.052631579,0,0,0,0,0,0,0.052631579,0,0,0,0,0,0,0,0,0,0,0,0.052631579,0,0,0.052631579,0,0.052631579,0,0,0,0.052631579,0,0,0.105263158,0,0.052631579,0,0.052631579,0,0,0.105263158,0,0,0,0,0.105263158,0,0,0,0,0.052631579,0.052631579,0,0
234,0,0,0.052631579,0,0.052631579,0,0,0,0,0,0.052631579,0,0,0,0,0,0.052631579,0,0.052631579,0,0.052631579,0,0,0,0,0,0,0,0,0.052631579,0,0.052631579,0,0.052631579,0,0,0,0.052631579,0,0,0.052631579,0,0,0,0,0,0,0.052631579,0,0,0,0,0,0,0,0.105263158,0,0.052631579,0,0.052631579,0,0.052631579,0.052631579,0.052631579
235,0,0.052631579,0,0,0.052631579,0,0.052631579,0,0,0,0,0.105263158,0,0,0,0,0,0.052631579,0.105263158,0,0.052631579,0,0,0,0,0,0.052631579,0,0,0.052631579,0,0,0,0,0,0,0,0.052631579,0,0,0,0.052631579,0,0,0,0.105263158,0,0,0.052631579,0,0,0,0.052631579,0.052631579,0,0.052631579,0,0,0,0,0,0,0,0
236,0,0,0,0,0.15,0,0,0,0.05,0.05,0.1,0.05,0,0,0,0,0,0.05,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.15,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,0,0,0,0.052631579,0.052631579,0.052631579,0,0,0.052631579,0,0,0,0,0,0.105263158,0.052631579,0,0,0.052631579,0,0,0,0,0.052631579,0,0,0,0,0.052631579,0,0,0,0.052631579,0.157894737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052631579,0,0,0,0,0.157894737,0,0,0,0,0,0.052631579,0
238,0,0.05,0,0.05,0,0,0,0.05,0,0.05,0,0,0,0.05,0,0,0.05,0,0.05,0,0,0,0,0,0,0,0,0,0,0.05,0.1,0,0,0,0,0,0.05,0,0,0.05,0,0.05,0,0,0,0,0.05,0,0.05,0,0,0,0.05,0,0,0.05,0.05,0,0.05,0.05,0,0,0,0
239,0.1,0,0,0.1,0,0,0,0,0,0,0.05,0,0,0.05,0.05,0,0.05,0,0.05,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0,0,0,0,0.1,0,0,0,0,0.05,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0.1,0.05,0.05,0,0.05,0,0,0,0
240,0,0.047619048,0,0,0,0,0,0.095238095,0,0,0.047619048,0,0,0.047619048,0,0.047619048,0,0,0.047619048,0.047619048,0,0,0,0,0,0,0,0,0,0,0.095238095,0,0.047619048,0,0,0.047619048,0.047619048,0,0,0,0.095238095,0,0,0,0,0,0,0,0,0.047619048,0,0,0.047619048,0,0,0,0.047619048,0.047619048,0.047619048,0,0,0,0.047619048,0
241,0,0,0.05,0,0,0.05,0,0,0,0.05,0,0,0,0,0.1,0,0.05,0.05,0,0.05,0.05,0,0.05,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0.05,0,0.05,0,0.05,0,0,0,0,0.05,0.05,0,0,0,0,0.1,0,0,0.05,0,0
242,0,0.052631579,0,0,0,0.052631579,0,0,0,0,0,0,0,0.052631579,0.052631579,0,0,0,0,0.052631579,0.052631579,0,0,0,0,0,0,0,0.052631579,0,0,0.052631579,0,0,0,0.052631579,0,0,0,0.052631579,0,0,0,0,0,0,0.052631579,0,0.052631579,0,0,0,0,0,0,0.052631579,0.052631579,0.052631579,0,0.105263158,0,0,0.105263158,0
243,0,0,0,0,0,0,0.05,0,0.05,0,0,0.1,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0,0,0,0.05,0,0,0.05,0,0,0.05,0.1,0,0,0,0,0,0.05,0,0,0,0,0.1,0,0.05,0,0,0,0,0,0.05,0,0.05,0.05,0,0.05,0,0,0,0.05,0
244,0,0,0,0.05,0.05,0,0,0,0.05,0,0,0,0,0.05,0,0.05,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0.1,0,0.05,0.05,0,0,0,0,0,0.05,0.05,0.05,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0.05,0,0,0.1,0.1,0,0,0.05,0
245,0.052631579,0.052631579,0,0.052631579,0,0,0.052631579,0,0,0,0,0,0,0,0,0.105263158,0.105263158,0,0,0,0.052631579,0,0,0,0,0.052631579,0,0,0,0,0,0,0,0,0,0.052631579,0.052631579,0,0,0,0,0,0,0,0,0.052631579,0,0,0,0,0,0,0,0.052631579,0,0.052631579,0.052631579,0,0,0.052631579,0,0.052631579,0.052631579,0
246,0,0,0,0.095238095,0.047619048,0,0,0,0.047619048,0,0,0.047619048,0,0.047619048,0,0.047619048,0.047619048,0,0.047619048,0,0,0,0,0,0,0,0,0.047619048,0,0,0,0,0.047619048,0.047619048,0,0,0,0,0.047619048,0,0.047619048,0,0,0,0,0,0,0.047619048,0,0,0,0,0.047619048,0,0,0,0,0.047619048,0.047619048,0,0,0,0.095238095,0.047619048
247,0,0.05,0.1,0,0,0,0,0.05,0.05,0.05,0,0.05,0,0,0,0,0,0,0.05,0,0.05,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0.05,0,0.05,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0.05,0.05,0,0.05,0,0,0.05,0
248,0,0,0.05,0,0,0,0,0,0,0.05,0,0.1,0,0,0,0,0.05,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.05,0,0,0.05,0,0.05,0,0,0,0,0.05,0.05,0,0,0,0,0.05,0,0,0.05,0,0,0.05,0,0.05,0.1,0,0.05
249,0,0,0,0,0.047619048,0,0,0,0,0.047619048,0,0,0,0,0,0.047619048,0,0,0,0.047619048,0,0,0,0,0,0,0,0,0.047619048,0,0.095238095,0,0,0,0,0,0,0,0,0.095238095,0,0,0.047619048,0.047619048,0,0.047619048,0,0.047619048,0,0.047619048,0,0,0,0,0,0.047619048,0,0.047619048,0.047619048,0.047619048,0,0.047619048,0.047619048,0.047619048
250,0,0,0,0,0.052631579,0,0,0.052631579,0,0.052631579,0,0,0,0.052631579,0,0,0,0,0,0.052631579,0,0,0,0,0,0,0,0,0.105263158,0,0.105263158,0,0,0,0,0,0,0,0,0.105263158,0,0.052631579,0.052631579,0.052631579,0,0,0,0,0,0.105263158,0,0,0,0,0,0.052631579,0,0,0.105263158,0,0,0,0,0
251,0,0,0,0,0,0,0,0,0.05,0.05,0,0.1,0,0.05,0,0,0,0,0.1,0,0.05,0,0,0.05,0,0,0,0,0,0.05,0,0,0,0,0,0.05,0,0.05,0,0,0,0,0,0,0.1,0,0.05,0,0,0,0.1,0,0.05,0.05,0,0,0,0,0,0.05,0,0,0,0
252,0.05,0,0,0.05,0,0.05,0,0,0,0,0,0.05,0.05,0,0,0,0.05,0,0.05,0,0.05,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.05,0,0.05,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0.05,0.05
253,0.095238095,0,0,0.047619048,0.047619048,0,0,0.047619048,0,0,0,0.047619048,0,0,0.047619048,0,0,0,0,0,0,0.047619048,0,0.047619048,0,0,0,0,0.095238095,0,0,0,0,0.047619048,0,0,0,0.047619048,0,0,0,0,0,0.047619048,0,0,0.095238095,0,0,0.047619048,0.047619048,0,0,0,0,0,0.047619048,0.047619048,0.047619048,0,0,0,0,0
254,0,0,0.043478261,0,0,0,0,0.043478261,0,0,0,0.086956522,0,0,0,0,0.043478261,0.043478261,0,0,0,0,0.043478261,0,0,0,0,0.043478261,0.043478261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043478261,0,0.043478261,0.043478261,0.086956522,0,0,0.086956522,0,0.086956522,0.043478261,0,0,0,0,0.043478261,0,0.043478261,0.043478261,0,0.043478261
255,0,0,0,0,0.052631579,0,0,0,0,0.052631579,0,0,0,0,0,0,0,0,0.052631579,0,0,0.052631579,0,0.105263158,0,0.052631579,0,0,0,0.052631579,0.105263158,0,0,0.052631579,0,0,0,0.105263158,0.052631579,0.052631579,0,0.052631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052631579,0.052631579,0.052631579,0,0,0,0,0
256,0,0,0,0,0,0,0,0,0.05,0.05,0,0.05,0,0,0,0,0,0,0.05,0,0,0,0,0.05,0,0,0,0,0,0,0.05,0,0,0,0.1,0,0.05,0.05,0,0,0,0,0,0,0,0,0.15,0.05,0,0,0,0,0,0,0,0,0,0.05,0.05,0.15,0,0,0.05,0
257,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0.05,0.05,0,0,0.05,0.05,0,0,0,0.05,0.05,0,0,0,0,0.05,0,0.05,0,0,0,0,0,0.05,0,0,0,0.05,0.05,0.1,0,0,0.15,0.05
258,0,0,0,0.052631579,0.105263158,0,0,0,0.052631579,0,0,0,0.052631579,0.052631579,0.052631579,0,0.105263158,0,0.052631579,0,0.052631579,0.105263158,0,0,0,0,0,0,0,0,0,0,0,0.052631579,0,0.052631579,0,0,0,0,0.052631579,0,0,0,0,0,0,0,0,0.052631579,0,0,0,0.052631579,0,0,0,0,0.052631579,0,0,0,0,0
259,0,0,0,0,0.052631579,0,0,0,0,0,0.052631579,0,0,0.052631579,0,0.105263158,0,0.052631579,0.052631579,0.052631579,0.052631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052631579,0,0.052631579,0,0,0.052631579,0,0.052631579,0,0,0,0,0,0,0,0,0,0.052631579,0.052631579,0,0,0,0.052631579,0,0,0,0.052631579,0.052631579,0.052631579
260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0.05,0,0,0,0,0.1,0,0,0,0,0.1,0,0.25,0.05,0,0,0,0.05,0,0,0,0,0,0.05,0,0,0,0,0.1,0,0,0.05,0,0.05
261,0,0,0,0,0.047619048,0.047619048,0,0,0,0,0.047619048,0,0,0.047619048,0,0.095238095,0,0.095238095,0.047619048,0.047619048,0.095238095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047619048,0,0.047619048,0,0,0.047619048,0,0.047619048,0,0,0,0,0,0,0.047619048,0,0,0.047619048,0,0,0,0,0.047619048,0,0,0.047619048,0,0.047619048,0
262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0,0,0.05,0,0,0,0.05,0,0,0,0,0,0,0.1,0,0,0,0,0.05,0.05,0,0,0.05,0,0.05,0.05,0.05,0,0,0,0.05,0,0,0,0,0,0.05,0,0,0.05,0.05,0.1,0,0,0.05,0,0.05
263,0,0,0,0,0.05,0.05,0,0,0,0,0,0.05,0,0.05,0,0.1,0,0.05,0.05,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0,0,0,0,0,0,0,0,0.05,0,0,0.05,0,0,0.05,0,0,0,0.05,0.05,0,0,0.05,0,0.05,0
264,0,0,0,0,0,0,0,0.05,0,0.05,0,0.05,0.05,0.05,0,0,0,0,0.05,0,0,0,0,0.05,0,0,0,0,0.05,0,0.1,0,0,0,0.05,0.05,0,0.05,0,0.05,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0.05,0,0,0,0.1,0.05,0,0,0,0,0,0
265,0.05,0.05,0,0,0.1,0,0,0.05,0,0.05,0,0,0,0,0,0,0,0.05,0.05,0,0,0,0,0.05,0,0,0,0,0.05,0,0.1,0,0.05,0,0.05,0,0,0.05,0,0.05,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0.1,0.05,0,0,0,0,0,0
266,0,0.05,0,0,0.05,0,0,0,0,0.05,0.05,0.05,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.05,0,0,0,0.05,0,0,0.05,0.05,0.05,0,0,0,0,0,0.05,0,0,0,0,0.1,0,0,0,0,0,0.05,0,0,0.05,0,0
267,0,0,0,0,0,0,0,0,0.15,0.05,0.15,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0.15,0,0.1,0,0,0.05,0,0.1,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0
268,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0.05,0,0.05,0,0.05,0,0,0,0,0,0,0.05,0,0,0.05,0.05,0.05,0,0,0,0,0.05,0,0,0,0,0,0,0.05,0,0.1,0,0,0,0,0,0,0,0,0.05,0.1,0.05,0.05,0,0.05,0,0,0.1,0
269,0,0,0,0.052631579,0,0,0,0.052631579,0.052631579,0,0.052631579,0,0,0,0,0.052631579,0.052631579,0,0,0,0,0,0,0,0,0,0.052631579,0,0,0,0,0.052631579,0,0.052631579,0.052631579,0,0.052631579,0,0.052631579,0,0.052631579,0.105263158,0.052631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052631579,0,0,0,0.105263158,0
270,0,0,0,0,0,0,0.047619048,0.047619048,0.047619048,0,0.047619048,0.047619048,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0.047619048,0,0,0.047619048,0,0,0.095238095,0,0,0.047619048,0,0,0,0,0.047619048,0,0,0,0.047619048,0.047619048,0.047619048,0,0,0,0,0.047619048,0,0,0,0.047619048,0,0,0.047619048,0,0.047619048,0,0
271,0,0,0,0,0,0,0.05,0.05,0,0,0,0,0,0,0,0.05,0,0.05,0,0,0,0,0,0.05,0,0,0,0,0.05,0,0,0.1,0,0,0,0,0.05,0,0,0,0,0,0,0.05,0,0,0,0.05,0,0.05,0,0.05,0,0,0,0.05,0,0.05,0.05,0,0.05,0.05,0.1,0
272,0,0,0.05,0.05,0,0,0,0,0,0,0.1,0.05,0.05,0.05,0,0,0.05,0,0.05,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0.05,0.05,0.05,0,0,0.05,0,0,0,0.05,0,0.05,0,0.05,0.05,0,0,0,0,0,0,0,0.05,0,0
273,0,0,0,0,0,0,0,0.052631579,0,0,0,0,0,0,0,0.052631579,0,0,0,0.052631579,0.052631579,0,0,0.052631579,0,0,0,0,0,0.052631579,0.052631579,0.052631579,0,0,0,0,0,0,0,0.052631579,0,0.052631579,0,0,0,0,0,0.052631579,0,0.052631579,0,0,0,0.052631579,0,0.052631579,0,0,0.052631579,0.052631579,0.052631579,0.052631579,0.052631579,0
274,0,0,0.052631579,0.052631579,0,0,0,0,0,0,0.105263158,0.052631579,0.052631579,0,0,0.052631579,0.052631579,0,0.052631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052631579,0,0,0,0,0.052631579,0,0,0.052631579,0.052631579,0,0,0,0.052631579,0,0.052631579,0,0.105263158,0,0,0,0,0,0,0,0,0.105263158,0,0
275,0,0,0.052631579,0,0.052631579,0,0,0,0,0,0,0.105263158,0,0,0,0,0,0.052631579,0.052631579,0,0,0,0.052631579,0,0,0.052631579,0,0,0.052631579,0,0,0,0,0,0,0,0,0,0,0.052631579,0,0.052631579,0,0,0,0,0.052631579,0.052631579,0.052631579,0,0,0,0.052631579,0.052631579,0,0,0,0,0.052631579,0,0,0.105263158,0,0
276,0,0,0,0,0,0,0,0,0,0.1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.1,0,0,0.05,0,0.05,0,0,0.15,0,0.05,0.05,0,0,0,0.05,0,0,0,0.05,0,0,0,0,0,0.05,0.05,0,0.05,0.05,0,0.05,0
277,0,0,0.052631579,0,0.052631579,0,0,0,0,0,0,0.105263158,0,0,0,0,0,0.052631579,0.052631579,0,0,0,0,0,0,0,0,0,0.052631579,0,0.052631579,0,0,0,0,0,0,0,0,0.052631579,0,0.052631579,0,0,0,0,0.052631579,0.052631579,0.052631579,0,0,0,0.052631579,0,0,0.052631579,0,0.052631579,0.052631579,0,0,0.105263158,0,0
278,0,0.05,0,0,0,0,0,0,0.05,0.1,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0.05,0,0.05,0.05,0,0,0,0.1,0,0,0,0.05,0,0,0.05,0,0,0,0.05,0,0,0,0,0,0.1,0,0.05,0,0.05,0,0.05,0
279,0,0,0.05,0,0.05,0,0,0,0,0.05,0.05,0.05,0,0,0,0.05,0,0.05,0.05,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0,0,0,0.1,0,0,0,0,0.05,0.05,0,0,0,0,0.05,0,0,0,0,0,0.05,0.05,0,0,0.05,0.05,0,0,0,0,0,0.05,0
280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058823529,0,0,0.117647059,0,0,0,0.058823529,0,0,0,0,0,0,0.058823529,0.117647059,0,0,0.176470588,0.176470588,0.058823529,0,0,0.058823529,0,0,0,0,0,0,0,0,0,0,0,0.117647059,0,0,0,0,0
281,0,0,0,0.052631579,0,0,0,0,0,0,0.052631579,0,0,0.052631579,0,0,0.052631579,0,0,0,0,0.263157895,0,0.105263158,0,0,0,0,0,0.052631579,0.052631579,0,0,0,0,0,0,0.052631579,0,0,0,0.052631579,0.052631579,0,0,0,0,0,0,0,0,0,0.052631579,0.052631579,0,0,0,0,0,0.052631579,0,0,0,0
282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.210526316,0,0,0,0,0.105263158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105263158,0,0,0,0,0,0,0,0.052631579,0,0.157894737,0,0,0,0,0.052631579,0,0,0,0,0,0.105263158,0,0.210526316,0,0,0,0
283,0,0,0.045454545,0,0,0,0,0,0.045454545,0.090909091,0.090909091,0,0,0,0,0,0,0,0.090909091,0,0.045454545,0.045454545,0,0,0,0,0,0,0,0.045454545,0,0,0.045454545,0,0.045454545,0,0.090909091,0,0,0,0.045454545,0,0.045454545,0.045454545,0,0,0,0.045454545,0,0,0,0,0,0.045454545,0,0.045454545,0,0,0,0,0,0.045454545,0,0
284,0.05,0.05,0,0,0,0.05,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.05,0,0,0.05,0,0,0,0,0,0.05,0,0,0,0.05,0,0,0,0.05,0.05,0,0.05,0.05,0.05,0,0.05,0,0.05,0,0,0.05,0,0,0,0,0,0,0.1,0.05,0,0,0,0
285,0,0,0,0,0.1,0.05,0,0,0,0,0,0,0.05,0,0,0,0,0.05,0,0.1,0.05,0.05,0.05,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0,0.05,0,0.1,0,0,0,0.05,0,0,0,0,0.05,0,0.05,0,0,0.05
286,0.05,0,0,0.05,0,0.05,0,0,0,0.05,0,0,0,0.1,0,0,0,0.05,0,0.05,0.05,0,0,0,0,0,0.05,0,0,0,0.05,0,0.05,0,0,0,0.05,0,0,0,0,0,0,0.05,0,0,0,0.05,0,0,0.05,0,0,0,0.05,0.05,0.05,0,0,0,0.05,0,0,0
287,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0,0,0.05,0,0,0,0,0,0,0,0.05,0,0,0.05,0.05,0,0,0,0,0.05,0,0,0.05,0.05,0,0.05,0.05,0,0.1,0.05,0.15
288,0,0,0,0,0,0,0,0,0.045454545,0,0,0,0.045454545,0,0.045454545,0,0,0,0,0.045454545,0,0,0,0,0,0,0,0,0,0,0.045454545,0,0,0,0,0,0,0,0,0.045454545,0,0,0,0.136363636,0,0,0.045454545,0.090909091,0,0,0.045454545,0.045454545,0.045454545,0,0,0,0,0,0.136363636,0,0.045454545,0.045454545,0,0.090909091
289,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0.05,0,0,0.05,0,0.05,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0,0,0,0,0,0,0.05,0,0.05,0,0.1,0,0,0.05,0.05,0,0,0.05,0,0.05,0,0,0,0,0,0.15,0,0.05,0.05,0,0.05
290,0.047619048,0,0,0.047619048,0,0.047619048,0,0,0,0.047619048,0,0.047619048,0,0.047619048,0,0.047619048,0,0.047619048,0.047619048,0.047619048,0.047619048,0,0,0,0,0,0,0,0,0,0,0,0.047619048,0,0,0,0.047619048,0,0,0,0,0,0,0,0,0,0.047619048,0.047619048,0,0,0.047619048,0,0.047619048,0,0,0,0.047619048,0,0,0.047619048,0,0,0.047619048,0.047619048
291,0.05,0,0,0.05,0,0.05,0,0,0,0.05,0,0,0,0.05,0,0.05,0,0.05,0,0.05,0.05,0,0,0,0,0,0.05,0,0,0,0,0,0.05,0,0,0,0.05,0,0,0,0,0,0,0.05,0,0,0,0.05,0,0,0.05,0,0,0,0.05,0,0.05,0,0,0,0.05,0,0.05,0.05
292,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0.05,0.05,0.05,0,0,0,0,0.05,0.05,0,0,0.05,0,0.05,0,0,0,0,0,0,0,0.05,0,0,0.05,0.05,0,0,0,0,0,0.05,0,0.05,0.05,0,0.05,0.05,0,0.1,0,0.05
293,0,0,0.05,0,0.05,0,0,0.05,0.05,0,0.05,0,0.05,0,0,0,0.05,0,0.05,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0.05,0,0,0.05,0,0,0,0,0.05,0.05,0,0,0,0,0,0,0.05,0,0.05,0,0,0,0.15,0,0,0,0,0,0,0,0
294,0.047619048,0,0.047619048,0.047619048,0,0,0,0,0,0.047619048,0,0.095238095,0.047619048,0,0,0.047619048,0.095238095,0,0.047619048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047619048,0,0,0,0,0,0,0,0.047619048,0.047619048,0.047619048,0,0,0,0.047619048,0.047619048,0.047619048,0,0,0,0,0.047619048,0,0.047619048,0,0,0.047619048,0
295,0.047619048,0,0.047619048,0.047619048,0,0,0,0,0,0.047619048,0,0.047619048,0.047619048,0,0.047619048,0.047619048,0.095238095,0,0.047619048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047619048,0.047619048,0,0,0,0,0,0,0,0,0.047619048,0.047619048,0,0,0,0,0.047619048,0.047619048,0,0,0,0.047619048,0.047619048,0,0.047619048,0,0,0.047619048,0
296,0,0,0.047619048,0,0,0,0,0,0,0,0,0.047619048,0,0,0.047619048,0,0,0,0,0.047619048,0.047619048,0,0,0,0,0,0,0,0,0,0,0.047619048,0,0,0,0,0,0,0,0.047619048,0,0,0,0.047619048,0,0,0.095238095,0.047619048,0.047619048,0,0,0,0,0.047619048,0,0,0.047619048,0.047619048,0.047619048,0.047619048,0,0.047619048,0.047619048,0.095238095
297,0,0,0.047619048,0,0,0,0,0,0,0,0,0.095238095,0,0,0.047619048,0,0,0,0,0.047619048,0.047619048,0,0,0,0,0,0,0,0,0,0,0.047619048,0,0,0,0,0,0,0,0.047619048,0,0,0,0,0.047619048,0,0.047619048,0.047619048,0.047619048,0,0.095238095,0,0,0.047619048,0,0,0,0.047619048,0,0.047619048,0.047619048,0.047619048,0,0.095238095
